local code,text,table_name,parent_varname,local code system,code,display,code system,comment
OMIM:164210,HEMIFACIAL MICROSOMIA; HFM,subject,disease_id,disease_id,OMIM:164210,HEMIFACIAL MICROSOMIA; HFM,https://omim.org/,
OMIM:165550,"OPTIC NERVE HYPOPLASIA, BILATERAL",subject,disease_id,disease_id,OMIM:165550,"OPTIC NERVE HYPOPLASIA, BILATERAL",https://omim.org/,
OMIM:176270,PRADER-WILLI SYNDROME; PWS,subject,disease_id,disease_id,OMIM:176270,PRADER-WILLI SYNDROME; PWS,https://omim.org/,
OMIM:176450,CURRARINO SYNDROME,subject,disease_id,disease_id,OMIM:176450,CURRARINO SYNDROME,https://omim.org/,
OMIM:178200,"PTERYGIUM, ANTECUBITAL",subject,disease_id,disease_id,OMIM:178200,"PTERYGIUM, ANTECUBITAL",https://omim.org/,
OMIM:178600,"PULMONARY HYPERTENSION, PRIMARY, 1; PPH1",subject,disease_id,disease_id,OMIM:178600,"PULMONARY HYPERTENSION, PRIMARY, 1; PPH1",https://omim.org/,
OMIM:180700,"ROBINOW SYNDROME, AUTOSOMAL DOMINANT 1; DRS1",subject,disease_id,disease_id,OMIM:180700,"ROBINOW SYNDROME, AUTOSOMAL DOMINANT 1; DRS1",https://omim.org/,
OMIM:181700,"SCLEROCORNEA, AUTOSOMAL DOMINANT",subject,disease_id,disease_id,OMIM:181700,"SCLEROCORNEA, AUTOSOMAL DOMINANT",https://omim.org/,
OMIM:182212,SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME; SGS,subject,disease_id,disease_id,OMIM:182212,SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME; SGS,https://omim.org/,
OMIM:182600,"SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT; SPG3A",subject,disease_id,disease_id,OMIM:182600,"SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT; SPG3A",https://omim.org/,
OMIM:184255,"SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE; SMDCF",subject,disease_id,disease_id,OMIM:184255,"SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE; SMDCF",https://omim.org/,
OMIM:184900,STIFF SKIN SYNDROME; SSKS,subject,disease_id,disease_id,OMIM:184900,STIFF SKIN SYNDROME; SSKS,https://omim.org/,
OMIM:185480,"SUPRABULBAR PARESIS, CONGENITAL",subject,disease_id,disease_id,OMIM:185480,"SUPRABULBAR PARESIS, CONGENITAL",https://omim.org/,
OMIM:186300,"SYNDACTYLY, TYPE V; SDTY5",subject,disease_id,disease_id,OMIM:186300,"SYNDACTYLY, TYPE V; SDTY5",https://omim.org/,
OMIM:191830,RENAL HYPODYSPLASIA/APLASIA 1; RHDA1,subject,disease_id,disease_id,OMIM:191830,RENAL HYPODYSPLASIA/APLASIA 1; RHDA1,https://omim.org/,
OMIM:192350,VATER/VACTERL ASSOCIATION,subject,disease_id,disease_id,OMIM:192350,VATER/VACTERL ASSOCIATION,https://omim.org/,
OMIM:192430,VELOCARDIOFACIAL SYNDROME,subject,disease_id,disease_id,OMIM:192430,VELOCARDIOFACIAL SYNDROME,https://omim.org/,
OMIM:192600,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1; CMH1",subject,disease_id,disease_id,OMIM:192600,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1; CMH1",https://omim.org/,
OMIM:193700,"ARTHROGRYPOSIS, DISTAL, TYPE 2A; DA2A",subject,disease_id,disease_id,OMIM:193700,"ARTHROGRYPOSIS, DISTAL, TYPE 2A; DA2A",https://omim.org/,
OMIM:207950,CHIARI MALFORMATION TYPE II,subject,disease_id,disease_id,OMIM:207950,CHIARI MALFORMATION TYPE II,https://omim.org/,
OMIM:208085,"ARTHROGRYPOSIS, RENAL DYSFUNCTION, AND CHOLESTASIS 1; ARCS1",subject,disease_id,disease_id,OMIM:208085,"ARTHROGRYPOSIS, RENAL DYSFUNCTION, AND CHOLESTASIS 1; ARCS1",https://omim.org/,
OMIM:208230,PROGRESSIVE PSEUDORHEUMATOID DYSPLASIA; PPRD,subject,disease_id,disease_id,OMIM:208230,PROGRESSIVE PSEUDORHEUMATOID DYSPLASIA; PPRD,https://omim.org/,
OMIM:209850,AUTISM,subject,disease_id,disease_id,OMIM:209850,AUTISM,https://omim.org/,
OMIM:209950,IMMUNODEFICIENCY 27A; IMD27A,subject,disease_id,disease_id,OMIM:209950,IMMUNODEFICIENCY 27A; IMD27A,https://omim.org/,
OMIM:210600,SECKEL SYNDROME 1; SCKL1,subject,disease_id,disease_id,OMIM:210600,SECKEL SYNDROME 1; SCKL1,https://omim.org/,
OMIM:211400,BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1; BESC1,subject,disease_id,disease_id,OMIM:211400,BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1; BESC1,https://omim.org/,
OMIM:212140,"CARNITINE DEFICIENCY, SYSTEMIC PRIMARY; CDSP",subject,disease_id,disease_id,OMIM:212140,"CARNITINE DEFICIENCY, SYSTEMIC PRIMARY; CDSP",https://omim.org/,
OMIM:213300,JOUBERT SYNDROME 1; JBTS1,subject,disease_id,disease_id,OMIM:213300,JOUBERT SYNDROME 1; JBTS1,https://omim.org/,
OMIM:215140,GREENBERG DYSPLASIA; GRBGD,subject,disease_id,disease_id,OMIM:215140,GREENBERG DYSPLASIA; GRBGD,https://omim.org/,
OMIM:216340,YUNIS-VARON SYNDROME; YVS,subject,disease_id,disease_id,OMIM:216340,YUNIS-VARON SYNDROME; YVS,https://omim.org/,
OMIM:217980,"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE",subject,disease_id,disease_id,OMIM:217980,"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE",https://omim.org/,
OMIM:219150,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIA; ARCL3A",subject,disease_id,disease_id,OMIM:219150,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIA; ARCL3A",https://omim.org/,
OMIM:223370,DUBOWITZ SYNDROME,subject,disease_id,disease_id,OMIM:223370,DUBOWITZ SYNDROME,https://omim.org/,
OMIM:226600,"EPIDERMOLYSIS BULLOSA DYSTROPHICA, AUTOSOMAL RECESSIVE; RDEB",subject,disease_id,disease_id,OMIM:226600,"EPIDERMOLYSIS BULLOSA DYSTROPHICA, AUTOSOMAL RECESSIVE; RDEB",https://omim.org/,
OMIM:226750,KOHLSCHUTTER-TONZ SYNDROME; KTZS,subject,disease_id,disease_id,OMIM:226750,KOHLSCHUTTER-TONZ SYNDROME; KTZS,https://omim.org/,
OMIM:228200,FEMUR-FIBULA-ULNA SYNDROME,subject,disease_id,disease_id,OMIM:228200,FEMUR-FIBULA-ULNA SYNDROME,https://omim.org/,
OMIM:231670,GLUTARIC ACIDEMIA I; GA1,subject,disease_id,disease_id,OMIM:231670,GLUTARIC ACIDEMIA I; GA1,https://omim.org/,
OMIM:233300,OVARIAN DYSGENESIS 1; ODG1,subject,disease_id,disease_id,OMIM:233300,OVARIAN DYSGENESIS 1; ODG1,https://omim.org/,
OMIM:234100,HALLERMANN-STREIFF SYNDROME; HSS,subject,disease_id,disease_id,OMIM:234100,HALLERMANN-STREIFF SYNDROME; HSS,https://omim.org/,
OMIM:234200,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 1; NBIA1,subject,disease_id,disease_id,OMIM:234200,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 1; NBIA1,https://omim.org/,
OMIM:235400,"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1; AHUS1",subject,disease_id,disease_id,OMIM:235400,"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1; AHUS1",https://omim.org/,
OMIM:238600,"HYPERLIPOPROTEINEMIA, TYPE I",subject,disease_id,disease_id,OMIM:238600,"HYPERLIPOPROTEINEMIA, TYPE I",https://omim.org/,
OMIM:242300,"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 1; ARCI1",subject,disease_id,disease_id,OMIM:242300,"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 1; ARCI1",https://omim.org/,
OMIM:242900,SCHIMKE IMMUNOOSSEOUS DYSPLASIA; SIOD,subject,disease_id,disease_id,OMIM:242900,SCHIMKE IMMUNOOSSEOUS DYSPLASIA; SIOD,https://omim.org/,
OMIM:244300,KAPUR-TORIELLO SYNDROME,subject,disease_id,disease_id,OMIM:244300,KAPUR-TORIELLO SYNDROME,https://omim.org/,
OMIM:249210,MEGACYSTIS-MICROCOLON-INTESTINAL HYPOPERISTALSIS SYNDROME; MMIHS,subject,disease_id,disease_id,OMIM:249210,MEGACYSTIS-MICROCOLON-INTESTINAL HYPOPERISTALSIS SYNDROME; MMIHS,https://omim.org/,
OMIM:254090,ULLRICH CONGENITAL MUSCULAR DYSTROPHY 1; UCMD1,subject,disease_id,disease_id,OMIM:254090,ULLRICH CONGENITAL MUSCULAR DYSTROPHY 1; UCMD1,https://omim.org/,
OMIM:254940,CAREY-FINEMAN-ZITER SYNDROME; CFZS,subject,disease_id,disease_id,OMIM:254940,CAREY-FINEMAN-ZITER SYNDROME; CFZS,https://omim.org/,
OMIM:255995,"MYOPATHY, CONGENITAL, BAILEY-BLOCH; MYPBB",subject,disease_id,disease_id,OMIM:255995,"MYOPATHY, CONGENITAL, BAILEY-BLOCH; MYPBB",https://omim.org/,
OMIM:256520,NEU-LAXOVA SYNDROME 1; NLS1,subject,disease_id,disease_id,OMIM:256520,NEU-LAXOVA SYNDROME 1; NLS1,https://omim.org/,
OMIM:265000,"MULTIPLE PTERYGIUM SYNDROME, ESCOBAR VARIANT; EVMPS",subject,disease_id,disease_id,OMIM:265000,"MULTIPLE PTERYGIUM SYNDROME, ESCOBAR VARIANT; EVMPS",https://omim.org/,
OMIM:266600,INFLAMMATORY BOWEL DISEASE (CROHN DISEASE) 1; IBD1,subject,disease_id,disease_id,OMIM:266600,INFLAMMATORY BOWEL DISEASE (CROHN DISEASE) 1; IBD1,https://omim.org/,
OMIM:267700,"HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 1; FHL1",subject,disease_id,disease_id,OMIM:267700,"HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 1; FHL1",https://omim.org/,
OMIM:268310,"ROBINOW SYNDROME, AUTOSOMAL RECESSIVE 1; RRS1",subject,disease_id,disease_id,OMIM:268310,"ROBINOW SYNDROME, AUTOSOMAL RECESSIVE 1; RRS1",https://omim.org/,
OMIM:269200,"AUTOIMMUNE POLYENDOCRINE SYNDROME, TYPE II; APS2",subject,disease_id,disease_id,OMIM:269200,"AUTOIMMUNE POLYENDOCRINE SYNDROME, TYPE II; APS2",https://omim.org/,
OMIM:271150,"SPINAL MUSCULAR ATROPHY, TYPE IV; SMA4",subject,disease_id,disease_id,OMIM:271150,"SPINAL MUSCULAR ATROPHY, TYPE IV; SMA4",https://omim.org/,
OMIM:271400,"ASPLENIA, ISOLATED CONGENITAL; ICAS",subject,disease_id,disease_id,OMIM:271400,"ASPLENIA, ISOLATED CONGENITAL; ICAS",https://omim.org/,
OMIM:276950,VACTERL ASSOCIATION WITH HYDROCEPHALUS,subject,disease_id,disease_id,OMIM:276950,VACTERL ASSOCIATION WITH HYDROCEPHALUS,https://omim.org/,
OMIM:300029,RETINITIS PIGMENTOSA 3; RP3,subject,disease_id,disease_id,OMIM:300029,RETINITIS PIGMENTOSA 3; RP3,https://omim.org/,
OMIM:300240,MOVED TO 305000,subject,disease_id,disease_id,OMIM:300240,MOVED TO 305000,https://omim.org/,
OMIM:300804,JOUBERT SYNDROME 10; JBTS10,subject,disease_id,disease_id,OMIM:300804,JOUBERT SYNDROME 10; JBTS10,https://omim.org/,
OMIM:300816,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6; COXPD6,subject,disease_id,disease_id,OMIM:300816,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6; COXPD6,https://omim.org/,
OMIM:300953,"TRICHOTHIODYSTROPHY 5, NONPHOTOSENSITIVE; TTD5",subject,disease_id,disease_id,OMIM:300953,"TRICHOTHIODYSTROPHY 5, NONPHOTOSENSITIVE; TTD5",https://omim.org/,
OMIM:300966,"MENTAL RETARDATION, X-LINKED, SYNDROMIC 33; MRXS33",subject,disease_id,disease_id,OMIM:300966,"MENTAL RETARDATION, X-LINKED, SYNDROMIC 33; MRXS33",https://omim.org/,
OMIM:301000,WISKOTT-ALDRICH SYNDROME; WAS,subject,disease_id,disease_id,OMIM:301000,WISKOTT-ALDRICH SYNDROME; WAS,https://omim.org/,
OMIM:303600,COFFIN-LOWRY SYNDROME; CLS,subject,disease_id,disease_id,OMIM:303600,COFFIN-LOWRY SYNDROME; CLS,https://omim.org/,
OMIM:304050,AICARDI SYNDROME; AIC,subject,disease_id,disease_id,OMIM:304050,AICARDI SYNDROME; AIC,https://omim.org/,
